Year,Time series,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2019,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2020,Employees jobs (in full-time equivalent),Road passenger transport,,,,96528.0
2021,Employees jobs (in full-time equivalent),Road passenger transport,,,,129574.0
2022,Employees jobs (in full-time equivalent),Road passenger transport,,,,126403.0
2023,Employees jobs (in full-time equivalent),Road passenger transport,,,,128524.0
2010,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2011,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2012,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2013,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2014,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2015,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2016,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2017,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2018,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2019,Employees jobs (in full-time equivalent),Water passenger transport,.,,,
2020,Employees jobs (in full-time equivalent),Water passenger transport,,,,6722.0
2021,Employees jobs (in full-time equivalent),Water passenger transport,,,,7346.0
2022,Employees jobs (in full-time equivalent),Water passenger transport,,,,7746.0
2023,Employees jobs (in full-time equivalent),Water passenger transport,,,,7414.0
2010,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2011,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2012,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2013,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2014,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2015,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2016,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2017,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2018,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2019,Employees jobs (in full-time equivalent),Air passenger transport,.,,,
2020,Employees jobs (in full-time equivalent),Air passenger transport,,,,45264.0
2021,Employees jobs (in full-time equivalent),Air passenger transport,,,,45513.0
2022,Employees jobs (in full-time equivalent),Air passenger transport,,,,44077.0
2023,Employees jobs (in full-time equivalent),Air passenger transport,,,,47678.0
2010,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2011,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2012,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2013,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2014,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2015,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2016,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2017,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2018,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2019,Employees jobs (in full-time equivalent),Transport equipment rental,.,,,
2020,Employees jobs (in full-time equivalent),Transport equipment rental,,,,24773.0
2021,Employees jobs (in full-time equivalent),Transport equipment rental,,,,29873.0
2022,Employees jobs (in full-time equivalent),Transport equipment rental,,,,33751.0
2023,Employees jobs (in full-time equivalent),Transport equipment rental,,,,31106.0
2010,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2011,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2012,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2013,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2014,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2015,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2016,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2017,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2018,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2019,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,.,,,
2020,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,,,,59091.0
2021,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,,,,61658.0
2022,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,,,,66304.0
2023,Employees jobs (in full-time equivalent),Travel agencies and other reservation service activities,,,,63200.0
2010,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2011,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2012,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2013,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2014,Employees jobs (in full-time equivalent),Cultural activities,.,,,
2015,Employees jobs (in full-time equivalent),Cultural activities,.,,,
