Year,timeseries,tourism industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2019,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2020,employees jobs (in full-time equivalent),transport equipment rental,,,,24773
2021,employees jobs (in full-time equivalent),transport equipment rental,,,,29873
2022,employees jobs (in full-time equivalent),transport equipment rental,,,,33751
2023,employees jobs (in full-time equivalent),transport equipment rental,,,,31106
2010,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2011,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2012,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2013,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2014,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2015,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2016,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2017,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2018,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2019,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,…,,,
2020,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,,,,59091
2021,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,,,,61658
2022,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,,,,66304
2023,employees jobs (in full-time equivalent),travel agencies and other reservation service activities,,,,63200
2010,employees jobs (in full-time equivalent),cultural activities,…,,,
2011,employees jobs (in full-time equivalent),cultural activities,…,,,
2012,employees jobs (in full-time equivalent),cultural activities,…,,,
2013,employees jobs (in full-time equivalent),cultural activities,…,,,
2014,employees jobs (in full-time equivalent),cultural activities,…,,,
2015,employees jobs (in full-time equivalent),cultural activities,…,,,
2016,employees jobs (in full-time equivalent),cultural activities,…,,,
2017,employees jobs (in full-time equivalent),cultural activities,…,,,
2018,employees jobs (in full-time equivalent),cultural activities,…,,,
2019,employees jobs (in full-time equivalent),cultural activities,…,,,
2020,employees jobs (in full-time equivalent),cultural activities,…,,,
2021,employees jobs (in full-time equivalent),cultural activities,,,,40488
2022,employees jobs (in full-time equivalent),cultural activities,,,,41359
2023,employees jobs (in full-time equivalent),cultural activities,,,,43002
2010,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2011,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
2012,employees jobs (in full-time equivalent),sports and recreational activities,…,,,
